Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
LENOVO,LEGION 5I PRO 16IAH7H,1600.0,2560.0,6.81,,,Intel Core i7,12700H,1024.0,32.0,NVIDIA Geforce RTX 3070 Ti,,,1743000,4
LENOVO,LEGION 5 PRO 16ARH7H,1600.0,2560.0,6.81,,,AMD Ryzen 7,6800H,1024.0,16.0,NVIDIA Geforce RTX 3070 Ti,,,1242200,4
LENOVO,ThinkPad P15v,1080.0,1920.0,15.6,,IPS,Intel Core i7,12700H,512.0,16.0,NVIDIA Quadro T1200,4.0,,1344400,4
LENOVO,V15 GEN2 ITL,1080.0,1920.0,15.6,,TN,Intel Core i5,1135G7,256.0,8.0,Intel Iris Xe Graphics,,,300100,4
LENOVO,V15 GEN2 ITL,1080.0,1920.0,15.6,,TN,Intel Core i3,1115G4,128.0,4.0,Intel UHD Graphics,,,257600,4
LENOVO,,1080.0,1920.0,15.6,,TN,Intel Core i7,1065G7,256.0,8.0,Intel Iris Plus Graphics,,,409600,4
LENOVO,V15 GEN2 ITL,1080.0,1920.0,15.6,,TN,Intel Core i7,1165G7,512.0,8.0,Intel Iris Xe Graphics,,,452000,4
LENOVO,V17 G2 ITL,1080.0,1920.0,17.3,,,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,346700,4
LENOVO,ThinkBook 14 G2 ITL,1080.0,1920.0,14.0,,IPS,Intel Core i3,1115G4,256.0,8.0,Intel Iris Xe Graphics,,,313100,4
LENOVO,ThinkBook G2 ITL,1080.0,1920.0,15.6,,IPS,Intel Core i7,1165G7,256.0,8.0,Intel Iris Xe Graphics,,,404600,4
LENOVO,V15 GEN2 ITL,1080.0,1920.0,15.6,,TN,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,261200,4
LENOVO,ThinkPad X1 CARBON GEN 10,1200.0,1920.0,14.0,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics G7 80EUs,,,1092900,4
LENOVO,ThinkPad P16s G1,1200.0,1920.0,16.0,,,AMD Ryzen 7,6850U,1024.0,32.0,AMD Radeon Graphics,,,1647300,4
LENOVO,ThinkPad T T16,1200.0,1920.0,16.0,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics,,,957900,4
LENOVO,ThinkPad P14s Gen 3,1200.0,1920.0,14.0,,,Intel Core i5,1250P,512.0,8.0,NVIDIA Quadro T550,4.0,,809300,4
LENOVO,ThinkPad P16s,1200.0,1920.0,16.0,,,Intel Core i7,1260P,512.0,16.0,NVIDIA Quadro T550,4.0,,1132100,4
LENOVO,V15 G4 AMN,1080.0,1920.0,15.6,,TN,AMD Ryzen 3,7320U,256.0,8.0,AMD Radeon 610M,,,229100,4
LENOVO,ThinkPad T15 G2,1080.0,1920.0,15.0,,IPS,Intel Core i5,1135G7,512.0,16.0,Intel Iris Xe Graphics,,,569900,4
LENOVO,ThinkPad P16s,1600.0,2560.0,16.0,,,Intel Core i7,1260P,1024.0,16.0,NVIDIA Quadro T550,4.0,,1582300,4
LENOVO,V15 G2 ALC,1080.0,1920.0,15.6,,TN,AMD Ryzen 3,5300U,256.0,8.0,AMD Radeon Graphics,,,262500,4
LENOVO,ThinkPad X1 Carbon G10,1400.0,2240.0,14.0,,IPS,Intel Core i7,1265U,1024.0,16.0,Intel Iris Xe Graphics,,,1433300,4
LENOVO,ThinkPad X1 Carbon G10,1200.0,1920.0,14.0,,IPS,Intel Core i7,1265U,512.0,16.0,Intel Iris Xe Graphics,,,1542000,4
LENOVO,ThinkPad X1 Carbon G10,1200.0,1920.0,14.0,,IPS,Intel Core i7,1265U,512.0,16.0,Intel Iris Xe Graphics,,,1764400,4
LENOVO,ThinkPad X1 Carbon G10,1200.0,1920.0,14.0,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics,,,1301200,4
LENOVO,ThinkPad X1 Carbon G10,1200.0,1920.0,14.0,,IPS,Intel Core i7,1265U,512.0,16.0,Intel Iris Xe Graphics,,,1515500,4
LENOVO,ThinkPad T14,1080.0,1920.0,14.0,,IPS,Intel Core i5,1135G7,256.0,8.0,Intel Iris Xe Graphics,,,679300,4
LENOVO,ThinkPad X1 Carbon G10,1400.0,2240.0,14.0,,IPS,Intel Core i7,1265U,1024.0,16.0,Intel Iris Xe Graphics,,,1643700,4
LENOVO,ThinkBook 14 G4,1080.0,1920.0,14.0,,IPS,Intel Core i5,1235U,256.0,8.0,Intel Iris Xe Graphics,,,581300,4
LENOVO,IDEAPAD 3 15ITL6,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe,,,328300,4
LENOVO,V15,1080.0,1920.0,15.6,,IPS,Intel Celeron,N4500,256.0,8.0,Intel UHD Graphics,,,194200,4
LENOVO,ThinkPad L14 G3,1080.0,1920.0,14.0,,,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics,,,637100,4
LENOVO,ThinkPad T14,1200.0,1920.0,14.0,,IPS,Intel Core i7,1255U,512.0,16.0,Intel Iris Xe Graphics,,,1396400,4
LENOVO,Getac X500 G3,1080.0,1920.0,15.6,,,Intel Core i7,7820EQ,500.0,8.0,Intel HD Graphics 630,,,2143700,4
LENOVO,ThinkPad L15,1080.0,1920.0,15.6,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics G7 80EUs,,,753500,4
LENOVO,ThinkPad T14s G3,1200.0,1920.0,14.0,,IPS,Intel Core i7,1260P,512.0,16.0,Intel Iris Xe Graphics,,,1368500,4
LENOVO,ThinkPad T14s G3,1200.0,1920.0,14.0,,IPS,AMD Ryzen 5,6650U,512.0,16.0,AMD Radeon Graphics,,,1081500,4
LENOVO,ThinkPad T14 G3,1200.0,1920.0,14.0,,IPS,Intel Core i7,1255U,512.0,16.0,Intel Iris Xe Graphics,,,1401600,4
LENOVO,ThinkPad T14 G3,1200.0,1920.0,14.0,,IPS,AMD Ryzen 5,6650U,512.0,16.0,AMD Radeon Graphics,,,1065200,4
LENOVO,ThinkPad T14 G3,1200.0,1920.0,14.0,,IPS,AMD Ryzen 7,6850U,512.0,16.0,AMD Radeon Graphics 680M,,,1349400,4
LENOVO,ThinkPad T14s G3,1200.0,1920.0,14.0,,IPS,Intel Core i7,1260P,1024.0,16.0,Intel Iris Xe Graphics,,,1559100,4
LENOVO,ThinkPad T14 G3,1200.0,1920.0,14.0,,IPS,Intel Core i5,1235U,256.0,8.0,Intel Iris Xe Graphics,,,1140800,4
LENOVO,T16 G1,1600.0,2560.0,16.0,,IPS,AMD Ryzen 7,6860U,512.0,16.0,AMD Radeon Graphics 680M,,,1404100,4
LENOVO,L14 G3,1080.0,1920.0,14.0,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics,,,771400,4
LENOVO,ThinkPad P16s Gen 1,1200.0,1920.0,16.0,,,AMD Ryzen 7,6850U,512.0,16.0,AMD Radeon 680M,,,1507200,4
LENOVO,L14 G3,1080.0,1920.0,14.0,,IPS,Intel Core i7,1255U,256.0,8.0,Intel Iris Xe Graphics,,,787400,4
LENOVO,E15 G4,1080.0,1920.0,15.6,,IPS,Intel Core i5,1235U,512.0,8.0,Intel Iris Xe Graphics,,,636800,4
LENOVO,L14 G3,1080.0,1920.0,14.0,,IPS,AMD Ryzen 5,5675U,512.0,16.0,AMD Radeon Graphics,,,797400,4
LENOVO,E15 G4,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5625U,512.0,8.0,AMD Radeon Graphics,,,609600,4
LENOVO,THINKBOOK 15 G4 IAP,1080.0,1920.0,15.6,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe,,,674500,4
LENOVO,ThinkBook 16 G4+,1200.0,1920.0,16.0,,IPS,Intel Core i7,1255U,512.0,16.0,Intel Iris Xe Graphics,,,933000,4
LENOVO,E15 G4,1080.0,1920.0,15.6,,IPS,AMD Ryzen 3,5425U,256.0,8.0,AMD Radeon Graphics,,,620800,4
LENOVO,ThinkBook 15 G4,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5825U,512.0,16.0,AMD Radeon Graphics,,,860600,4
LENOVO,ThinkBook 16 G4+,1200.0,1920.0,16.0,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics,,,846000,4
LENOVO,THINKBOOK 15 G4 IAP,1080.0,1920.0,15.6,,IPS,Intel Core i5,1235U,256.0,8.0,Intel Iris Xe,,,610600,4
LENOVO,IDEAPAD 3 15ITL6,1080.0,1920.0,15.6,,IPS,Intel Core i3,1115G4,512.0,8.0,Intel UHD Graphics G4,,,236000,4
LENOVO,IDEAPAD 3 17ALC6,900.0,1600.0,17.3,,TN,AMD Ryzen 5,5500U,512.0,8.0,AMD Radeon RX Vega 7,,,352900,4
LENOVO,ThinkPad T16,1600.0,2560.0,16.0,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics,,,1207500,4
LENOVO,V15 G3,1080.0,1920.0,15.6,,,AMD Ryzen 5,5625U,512.0,8.0,AMD Radeon Graphics,,,223600,4
