Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
Asus,VivoBook,1080,1920,15.6,FullHD,,Core i7,1165G7,512,8,GeForceMX330,2,0,342000,1
Asus,TUF Gaming,1080,1920,15.6,FullHD,,Ryzen 5,4600H,512,8,GeForceGTX1650,4,1,342000,1
Asus,ZenBook,1800,2880,14.0,,,Core i5,1240P,256,8,Intel Iris Plus Graphics,,1,345000,1
Asus,VivoBook,1080,1920,17.3,FullHD,,Core i5,12500H,512,8,Intel Iris Plus Graphics,,1,345000,1
Asus,VivoBook,1080,1920,14.0,FullHD,,Core i7,1165G7,512,8,Intel Iris Plus Graphics,,1,370000,1
Asus,VivoBook K3400P,1800,2880,14.0,,,Core i7,11370H,512,8,GeForceGTX1650,4,1,394000,1
Asus,ZenBook,1080,1920,14.0,FullHD,,Ryzen 7,5800H,512,16,Radeon Graphics,,1,413000,1
Asus,ZenBook,2400,3840,14.0,UHD+,,Core i5,1240P,512,16,Intel Iris Plus Graphics,,1,431000,1
Asus,VivoBook,1080,1920,15.6,FullHD,,Core i5,11300H,256,8,Intel Iris Plus Graphics,,1,450000,1
Asus,Zenbook Pro 17,1080,1920,17.3,FullHD,,Ryzen 7,6800H,512,16,Radeon Graphics,,1,462000,1
Asus,ZenBook Pro 15 Flip,1620,2880,15.6,2.8K,,Core i7,12700H,512,16,Intel Iris Plus Graphics,,1,545000,1
Asus,TUF Gaming F15,1080,1920,15.6,FullHD,,Core i7,12650H,512,16,GeForceRTX3070,8,1,607000,1
Asus,ROG Strix G15,1440,2560,15.6,QHD,,Ryzen 9,5980HX,512,16,RadeonRX6800M,12,1,635000,1
Asus,ROG Strix G15,1080,1920,15.6,FullHD,,Ryzen 9,6900HX,1024,16,GeForceRTX3060,6,1,740000,1
Asus,ROG Strix G16,1200,1920,16.0,FHD+,,Core i9,13980HX,1024,16,GeForceRTX4070,8,1,1090000,1
Dell,Latitude,768,1366,11.6,HD,,Intel,N4120,128,4,Intel UHD Graphics 600,,0,88000,1
Dell,Latitude,768,1366,11.6,HD,,Intel,N4120,256,4,Intel UHD Graphics 600,,0,95000,1
Dell,Inspiron,768,1366,14.0,HD,,Core i5,1035G4,128,4,Intel UHD Graphics,,0,213000,1
Dell,Vostro,768,1366,15.6,HD,,Core i5,1135G7,256,4,Intel Iris Plus Graphics,,0,225000,1
