Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
HP,,1080,1920,15.6,FullHD,,Intel Core i5,1235U,512,8,Intel Iris Plus Graphics,,0,249000,3
HP,ProBook 450 G9,1080,1920,15.6,FullHD,,Intel Core i5,1235U,512,8,GeForce MX570,2,1,338000,3
OMEN,By HP Gaming,1080,1920,16.1,FullHD,,Intel Core i5,13420H,512,16,GeForce RTX4050,6,1,483000,3
Microsoft,Surface Laptop 5,1600,2560,15.6,QHD,,Intel Core i7,1265U,512,16,Intel Iris Plus Graphics,,1,640000,3
Lenovo,IP Slim 3 15IRU8,1080,1920,15.6,FullHD,,Intel Core i3,1315U,256,8,Intel Iris Plus Graphics,,0,199000,3
MSI,Cyborg 15,1080,1920,15.6,FullHD,,Intel Core i7,12650H,512,8,GeForce RTX4060,8,0,600000,3
HP,ProBook X360 11 G7,768,1366,11.6,HD,,Intel,N5100,128,4,Intel UHD Graphics,,0,116000,3
MSI,Raider GE77HX 12UGS,1440,2560,17.3,QHD,,Intel Core i7,12800HX,1,16,GeForce RTX 3070Ti,8,1,768000,3
Lenovo,IP Slim 3 15AMN8,1080,1920,15.6,FullHD,,Ryzen 7,7520U,512,8,radeon Graphics,,0,237000,3
Dell,Precision 3560,1080,1920,15.6,FullHD,,Intel Core i5,1145G7,512,16,Nvidia Quadro T500,,1,355000,3
Apple,MacBook Pro MNWA3 M2 MAX,2234,3456,16.2,,,M2 MAX,CHIP,1,32,,,0,1380000,3
Dell,XPS 15 9520 Oled,2160,3456,15.6,UHD+,,Intel Core i9,12900HK,1,32,GeForce RTX 3050Ti,4,1,792000,3
Dell,Latitude 3190,768,1366,11.6,HD,,Intel,N4120,128,4,Intel UHD Graphics 600,,0,88000,3
Asus,VivoBook,1080,1920,15.6,FullHD,,Ryzen 5,4600H,512,16,Radeon,Graqphi,0,277000,3
Asus,ZenBook Duo,1080,1920,14.0,FullHD,,Intel Core i7,1165G7,1,16,Nvidia GeForce MX450,2,1,695000,3
Dell,Special Edition G15 5521,1600,2560,15.6,QHD,,Intel Core i9,12900H,1,16,Nvidia GeFOrce RTX3070Ti,8,0,770000,3
Dell,Alienware M15 R7,1080,1920,15.6,FullHD,,Intel Core i9,12900H,1,16,Nvidia GeForce RTX3070Ti,8,1,815000,3
Acer,Predator Triton 300SE,1200,1920,14.0,FHD+,,Intel COre i7,12700H,512,16,Nvidia GeForce RTX3060,6,0,557000,3
Dell,Inspiron 16 Plus 7620,1964,3024,16.0,,,Core i7,12700H,1,40,Intel Iris Xe Graphics,,1,477000,3
Acer,Swift 3,1600,2560,13.3,QHD,,Core i5,1135G7,512,8,Geforce MX350,2,1,301000,3
MSI,Katana GF76,1080,1920,17.3,FullHD,,Core i7,12700H,512,16,GeForce RTX3060,6,0,681000,3
Samsung,GalaxyBook 3 360,1080,1920,15.6,FullHD,,Core i7,1360P,512,16,Intel Iris Plus Graphics,,0,718000,3
Dell,Alienware M15 R7,1440,2560,15.6,QHD,,Core i9,12900H,1,32,GeForce RTX3080,10,1,1055000,3
MSI,Stealth GS66,1440,2560,15.6,QHD,,Core i9,12900H,1,64,GeForce RTX3080,10,1,1162000,3
MSI,Raider GE67HX,1440,2560,15.6,QHD,,Core i9,12900HX,1,32,GeForce RTX3080Ti,16,1,1255000,3
Asus,VivoBook,1080,1920,15.6,FullHD,,Core i5,1035G1,256,8,Intel UHD Graphics,,0,255000,3
HP,Victus,1080,1920,16.1,FullHD,,Core i7,12700H,512,16,RTX3060,6,1,579000,3
HP,,768,1366,15.6,HD,,Ryzen 5,5500U,256,8,Radeon Graphics,,0,227000,3
HP,,768,1366,15.6,HD,,Core i7,1165G7,512,8,GeForce MX450,2,0,299000,3
Asus,VivoBook,1200,1920,15.6,FHD+,,Ryzen 7,5800H,512,16,Radeon Graphics,,0,385000,3
HP,Pavilion,1080,1920,15.6,FullHD,,Core i7,1165G7,512,8,Intel Iris Plus Graphics,,1,329000,3
MSI,Raider GE66 12UHS,1440,2560,15.6,QHD,,Core i7,12700H,1,32,GeForce RTX3080Ti,16,0,1111000,3
Dell,G7 7620,1600,2560,16.0,QHD,,Core i7,12700H,512,16,GeForce RTX3050Ti,4,1,499000,3
Asus,TUF Gaming,1080,1920,15.6,FullHD,,Ryzen 5,4600H,512,8,GeForce GTX1650,4,0,342000,3
HP,,1080,1920,15.6,FullHD,,Core i3,1215U,256,4,Intel Iris Plus Graphics,,0,163000,3
HP,,1080,1920,15.6,FullHD,,Core i5,1235U,512,8,Intel Iris Plus Graphics,,0,264000,3
Asus,VivoBook X1500E,1080,1920,15.6,FullHD,,Core i5,1135G7,512,8,Intel Iris Plus Graphics,,0,235000,3
Microsoft,Surface Laptop Studio,1600,2560,14.4,QHD,,Core i7,11370H,512,16,GeForce RTX3050Ti,4,1,755000,3
MSI,Vector GP76,1080,1920,17.3,FullHD,,Core i7,12650H,1,16,GeForce RTX3080Ti,16,1,999000,3
MSI,GF65 Thin,1080,1920,15.6,FullHD,,Core i7,10750H,512,32,GeForce GTX1660Ti,6,1,579000,3
