Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
ASUS,,1080.0,1920.0,15.6,,IPS,Intel Pentium,6805,256.0,8.0,GeForce Mx130,2.0,,274400.0,4
ASUS,ProArt Studiobook Pro 16,1600.0,2560.0,16.0,,IPS,Intel Core i7,11800H,1024.0,32.0,GeForce RTX A3000,6.0,,1193200.0,4
ASUS,,1080.0,1920.0,14.0,,TN,Intel Celeron,N4020,128.0,4.0,Intel UHD Graphics 600,,,207200.0,4
ASUS,ROG ZEPHYRUS G16,1200.0,1920.0,16.0,,IPS,Intel Core i7,12700H,512.0,16.0,Geforce RTX 4060,8.0,,1329600.0,4
ASUS,ZENBOOK PRO 15 OLED,1080.0,1920.0,15.6,,OLED,AMD Ryzen 7,4800H,512.0,16.0,Geforce RTX 3050 Ti,4.0,,1069700.0,4
ASUS,Chromebook Flip CR1,768.0,1366.0,11.6,,IPS,Intel Celeron,N4500,64.0,4.0,Intel UHD Graphics,,,308000.0,4
ASUS,,768.0,1366.0,11.6,,IPS,Intel Pentium,N6000,128.0,8.0,Intel UHD Graphics,,,257200.0,4
ASUS,P14,1080.0,1920.0,14.0,,TN,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,574000.0,4
ASUS,,768.0,1366.0,14.0,,LED,Intel Celeron,N4020,128.0,4.0,Intel UHD Graphics 600,,,254200.0,4
ASUS,Vivobook P16,1080.0,1920.0,16.0,,IPS,Intel Core i5,1135G7,512.0,16.0,Intel Iris Xe Graphics,,,696500.0,4
ASUS,ExpertBook,1080.0,1920.0,14.0,,LCD,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,576300.0,4
ASUS,,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,256.0,8.0,Intel Iris Xe Graphics,,,646200.0,4
ASUS,EXPERTBOOK B1,1080.0,1920.0,14.0,,LED,Intel Core i5,1135G7,256.0,16.0,Intel Iris Xe Graphics,,,847300.0,4
ASUS,ZenBook 13,1080.0,1920.0,13.3,,OLED,Intel Core i5,1035G1,512.0,8.0,Intel UHD Graphics,,,942100.0,4
ASUS,ExpertBook B9 B9400,1080.0,1920.0,14.0,,IPS,Intel Core i7,1255U,1024.0,32.0,Intel Iris Xe Graphics,,,1601200.0,4
ASUS,,1080.0,1920.0,14.0,,IPS,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,516300.0,4
ASUS,EXPERTBOOK B5,1080.0,1920.0,14.0,,LED,Intel Core i5,1155G7,512.0,16.0,Intel Iris Xe Graphics,,,927100.0,4
ASUS,ExpertBook B5 Flip,1080.0,1920.0,13.3,,LED,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe Graphics,,,1090800.0,4
ASUS,ProArt W7600H5A,2400.0,3840.0,16.0,,OLED,Intel Core i7,11800H,1024.0,32.0,RTX A5000,16.0,,1864500.0,4
ASUS,VivoBook 16,1200.0,1920.0,16.0,,IPS,Intel Core i7,1165G7,512.0,16.0,Intel Iris Xe Graphics,,,785300.0,4
ASUS,,1080.0,1920.0,17.3,,LED,Intel Core i5,1235U,512.0,8.0,Intel Iris Xe Graphics,,,669900.0,4
ASUS,,1080.0,1920.0,15.6,,IPS,Intel Pentium,N5030,256.0,8.0,Intel UHD Graphics 605,,,426700.0,4
ASUS,VIVOBOOK S17,1080.0,1920.0,17.3,,IPS,Intel Core i3,1115G4,512.0,16.0,Intel UHD Graphics,,,505800.0,4
ASUS,ExpertBook B3 Flip,1080.0,1920.0,14.0,,LED,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,675300.0,4
ASUS,ExpertBook B7 Flip,1600.0,2560.0,14.0,,LED,Intel Core i7,1260P,1024.0,16.0,Intel Iris Xe Graphics,,,741400.0,4
ASUS,ROG Strix SCAR 16,1600.0,2560.0,16.0,,IPS,Intel Core i9,13980HX,1024.0,32.0,GeForce RTX 4080,12.0,,2990900.0,4
ASUS,Vivobook S 14 Flip,1800.0,2880.0,14.0,,OLED,AMD Ryzen 7,7730U,1024.0,16.0,AMD Radeon Graphics,,,1246300.0,4
ASUS,TUF Gaming,1080.0,1920.0,15.6,,IPS,Intel Core i5,11400H,512.0,8.0,GeForce RTX 3050,4.0,,511200.0,4
ASUS,ExpertBook B2,1080.0,1920.0,15.6,,LED,Intel Core i5,1240P,512.0,16.0,Intel Iris Xe Graphics,,,976000.0,4
ASUS,Chromebook Vibe CX34 Flip,1200.0,1920.0,14.0,,IPS,Intel Core i7,1255U,512.0,16.0,Intel Iris Xe Graphics,,,1276700.0,4
ASUS,CM3000DVA,1200.0,1920.0,10.5,,IPS,Mediatek,MT8183,64.0,4.0,Arm Mali-G72 MP3,,,307800.0,4
ASUS,TUF Gaming A17,1080.0,1920.0,17.3,,IPS,AMD Ryzen 7,5800H,512.0,16.0,GeForce RTX 3060,6.0,,1442900.0,4
ASUS,VivoBook Pro 14,1800.0,2880.0,14.0,,OLED,Intel Core i7,11370H,512.0,16.0,GeForce RTX 3050,4.0,,1479500.0,4
ASUS,TUF Gaming A15,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,6800HS,512.0,16.0,GeForce RTX 3070,8.0,,1642100.0,4
ASUS,Chromebook CX1,1080.0,1920.0,15.6,,TN,Intel Celeron,N4500,64.0,8.0,Intel UHD Graphics,,,307600.0,4
ASUS,Chromebook Flip CM5,1080.0,1920.0,15.6,,IPS,AMD Ryzen 3,3250C,256.0,8.0,AMD Radeon Graphics,,,484200.0,4
ASUS,Chromebook,1080.0,1920.0,14.0,,IPS,Intel Celeron,N4020,64.0,4.0,Intel UHD Graphics 600,,,266000.0,4
ASUS,ROG Zephyrus GA503RM068W,1440.0,2560.0,15.6,,IPS,AMD Ryzen 7,6800HS,512.0,16.0,GeForce RTX 3060,6.0,,1408900.0,4
ASUS,ExpertBook B7402FBALA0339X,1600.0,2560.0,14.0,,IPS,Intel Core i7,1260P,1024.0,16.0,Intel Iris Xe Graphics,,,715700.0,4
ASUS,VivoBook Flip 14 TP401MA Hybride,1080.0,1920.0,14.0,,IPS,Intel Pentium,N5030,128.0,4.0,Intel UHD Graphics 605,,,421100.0,4
ASUS,Zenbook Pro 17,1080.0,1920.0,17.3,,IPS,Intel Core i9,6900HX,1024.0,16.0,AMD Radeon 680M,,,1465500.0,4
ASUS,,1080.0,1920.0,15.6,,TN,Intel Core i7,1065G7,512.0,16.0,GeForce MX330,2.0,,383500.0,4
ASUS,TUF Gaming F15,1080.0,1920.0,15.6,,IPS,Intel Core i5,11400H,512.0,16.0,GeForce RTX 3050,4.0,,632300.0,4
ASUS,Vivobook Pro 15,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5600H,512.0,16.0,GeForce GTX 1650,4.0,,439000.0,4
ASUS,Vivobook 15,1080.0,1920.0,15.6,,TN,Intel Pentium,7505,256.0,8.0,Intel UHD Graphics 600,,,193700.0,4
ASUS,ExpertBook,1080.0,1920.0,14.0,,IPS,Intel Core i5,1240P,512.0,16.0,Intel Iris Xe Graphics,,,673400.0,4
ASUS,ExpertBook,1080.0,1920.0,15.6,,IPS,Intel Core i5,1240P,512.0,16.0,Intel Iris Xe Graphics,,,591400.0,4
ASUS,ExpertBook,1080.0,1920.0,14.0,,IPS,Intel Core i7,1260P,512.0,16.0,Intel Iris Xe Graphics,,,1366800.0,4
ASUS,ExpertBook,1080.0,1920.0,14.0,,IPS,Intel Core i7,1255U,512.0,16.0,Intel Iris Xe Graphics,,,679000.0,4
ASUS,ExpertBook,1080.0,1920.0,15.0,,IPS,Intel Core i7,1255U,1024.0,16.0,Intel Iris Xe Graphics,,,694500.0,4
ASUS,ExpertBook,1080.0,1920.0,15.6,,IPS,Intel Core i7,1255U,512.0,16.0,Intel Iris Xe Graphics,,,1070500.0,4
ASUS,ExpertBook,1080.0,1920.0,15.6,,IPS,Intel Core i7,1260P,1024.0,16.0,Intel Iris Xe Graphics,,,1022000.0,4
